user,rate,reviews,tanggal reviews,aplikasi
Pengguna Google,3,Apakah bisa bikin rekening atas nama yayasan atau pondok pesantren di posPay,2024-01-16 17:22:23,Pospay
Pengguna Google,1,"buka blokir lama, apk kurang flexibel....kinerja lambat",2024-01-15 11:27:49,Pospay
Pengguna Google,1,Toup up ewallet kok gak ada pilihan,2024-01-15 10:21:04,Pospay
Pengguna Google,5,Good job,2024-01-14 04:36:53,Pospay
Pengguna Google,1,"Gak dapat notifikasi via SMS, gagal Mulu setiap login harus masukan user ma password Mulu,",2024-01-13 18:09:15,Pospay
Pengguna Google,5,Aplikasinya sangat membantu,2024-01-13 17:23:14,Pospay
Pengguna Google,3,Aplikasi lelet dan ribet,2024-01-12 10:17:15,Pospay
Pengguna Google,5,Siap....bagus,2024-01-11 19:21:00,Pospay
Pengguna Google,1,"sangat sulit untuk login, salah di blokir, ribet",2024-01-11 16:10:07,Pospay
Pengguna Google,1,"Busuk jangan pada pake dah, otp keterangan via sms, tapi ternyata lewat wa, udah lapor gada solusi nya, malah tunggu besok 🫠",2024-01-11 14:11:19,Pospay
Pengguna Google,1,gabisa di klik,2024-01-10 19:32:23,Pospay
Pengguna Google,4,Good,2024-01-10 18:21:13,Pospay
Pengguna Google,5,Jaya selalu,2024-01-10 15:40:14,Pospay
Pengguna Google,1,Tidak bisa log in,2024-01-09 11:26:17,Pospay
Pengguna Google,1,Gak bisa masuk,2024-01-09 09:25:21,Pospay
Pengguna Google,5,👍,2024-01-09 09:13:51,Pospay
Pengguna Google,1,Tiba² akun saya terblokir padahal masih ada sisah saldo,2024-01-08 19:14:12,Pospay
Pengguna Google,1,Buruk 2x pembubuhan materai tidak sesuai yg diinginkan Rugi dan Kapok,2024-01-08 14:49:46,Pospay
Pengguna Google,3,Kenapa selalu minta ganti kata sandi? Kalau selalu minta ganti kata sandi takutnya lupa nanti kata sandi yang baru. Mohon di perbaharui,2024-01-08 04:40:07,Pospay
Pengguna Google,3,Kok ada yg pencet aplikasi POSPAY saya sehingga terblokir ...dan posisi saya ada di daerah...mohon kebijaksanaan akun saya dibuka om,2024-01-08 01:40:53,Pospay
Pengguna Google,1,aplikasi bikinan negara kok bobrok sih,2024-01-05 18:37:09,Pospay
Pengguna Google,1,"akun terblokir, nelfon call center 1 kali diarahkan datang ke KP Bandung udah 2 kali bulak balik beda hari, dan akun masih terblokir, eskalasi gak baner gimana pos mau maju akun terblokir aja harus ke kantor pos, padahal ada call center ngaco abis pulsa, abis obgkos dan akun masih terblokir",2024-01-05 18:02:16,Pospay
Pengguna Google,1,"Bagaimana cara mengatasi jika notifikasi pada aplikasi ""Username Anda sudah terdaftar pada device lain"". Padahal saya hanya login di HP. Tdk pernah pada device lain. Bagaimana caranya supaya saya bisa pakai Username dan Password saya kembali?",2024-01-05 14:12:41,Pospay
Pengguna Google,1,"Mau ganti device ribet pake bangettttttt, kenapa nggk di bikin kaya aplikasi lain aja kalo ganti device gampang",2024-01-04 16:59:05,Pospay
Pengguna Google,1,Kok gak bs cek penerima bantuan ya di pospay,2024-01-04 10:07:59,Pospay
Pengguna Google,5,"Ditambah fiturnya ganti nomor hp sendiri, min...",2024-01-04 07:20:52,Pospay
Pengguna Google,1,Payah mau isi paket data gak bisa bisa....,2024-01-03 10:25:04,Pospay
Pengguna Google,5,Transaksi mudah cepat dan murah.... Joss PT. Pos,2024-01-03 07:45:02,Pospay
Pengguna Google,1,Terlalu ribet,2024-01-03 04:52:42,Pospay
Pengguna Google,1,kenapa akun saya sering kena blok sih aplikasj aneh gajelas,2024-01-02 14:09:23,Pospay
Pengguna Google,5,Cas Tim,2024-01-01 21:14:21,Pospay
Pengguna Google,1,"Makin kesini makin aneh, mau cek data gak bisa sken sampe nunggu bee jam jam, padahal smua udah support,",2024-01-01 19:21:04,Pospay
Pengguna Google,1,"Tidak bisa upgrade ke LitePlus, aplikasi kamera untuk foto KTP nya error",2023-12-31 14:57:39,Pospay
Pengguna Google,1,Crash saat mau ambil foto,2023-12-31 11:17:57,Pospay
Pengguna Google,3,"Error CameraException(error, Attempt to invoke virtual method 'int android.media.EncoderProfile s$VideoProfile.getWidth()' on a null object reference) Ijin akses kamera saat dugunakan sudah diberikan. di OPPO A96",2023-12-30 16:00:22,Pospay
Pengguna Google,2,"Ngak bisa di update jadi LITEPLUS, camera error' ngk bisa upload e KTP.",2023-12-30 09:52:53,Pospay
Pengguna Google,1,"POSPAY, dibuka eror , di cobak langsung Ter blokir , aplikasi apa ini main blokir blokir saja",2023-12-29 12:08:16,Pospay
Pengguna Google,1,Mau upgrade lama sekali hampir 2 hari gak ada tindak lanjut. Mending ndak usah bikin aplikasi saja pak,2023-12-28 21:23:40,Pospay
Pengguna Google,3,Sangat mudah digunakan tampilan juga menarik,2023-12-28 15:21:30,Pospay
Pengguna Google,1,"Terlalu sering di minta ganti password, sangat menyebalkan ketika kita lupa password yg lama. Padahal aplikasi mau di pake, akhirnya pake alternatif lain.",2023-12-27 08:28:03,Pospay
Pengguna Google,1,"Aplikasi cod pos malah bikin saya rugi,ekspedisi paling buruk sedunia,ribet",2023-12-26 17:01:45,Pospay
Pengguna Google,1,Saya sudah kirim email dari 3 hari yang lalu belum ada respon sampai sekarang. Ini CS posindonesia ngapaian saja?,2023-12-26 16:39:26,Pospay
Pengguna Google,1,Kenapa saat pembelian materai selalu salah pin,2023-12-26 12:14:42,Pospay
Pengguna Google,1,Kadal emang apk nih bisa topup gk bisa dipake buat qrys atau beli pulsa jauh kalo tf ke rek lain,2023-12-25 19:31:07,Pospay
Pengguna Google,1,Nggak bisa masuk,2023-12-25 12:18:42,Pospay
Pengguna Google,1,"halo pospay, kenapa akun saya tidak bisa dipakai buat bayar QRIS nya, padahal saldo lebih dari minimum.. tolong dibantu akun saya",2023-12-24 20:01:35,Pospay
Pengguna Google,1,Aplikasi gajelas gabisa bayar apa apa,2023-12-24 13:41:51,Pospay
Pengguna Google,1,Pas pendaftaran sudah beberapa kali masukan kode OTP selalu salah aneh...,2023-12-23 21:39:27,Pospay
Pengguna Google,1,"Aplikasi lemot,masuk akun salah2 trus pdhl udh akun pswd udh bner",2023-12-23 16:57:29,Pospay
Pengguna Google,5,Sangat membantu....,2023-12-23 09:45:42,Pospay
Pengguna Google,5,Sangat membantu n bagus,2023-12-23 09:44:16,Pospay
Pengguna Google,5,Satu aplikasi banyak solusi,2023-12-23 09:42:26,Pospay
Pengguna Google,1,saya sudah melakukan verifikasi pada tgl 20 des 2023... Tapi sampai detik ini blm ada hasil verifikasi...lambat kali pospay ini... Terpaksa uninstal,2023-12-23 00:48:42,Pospay
Pengguna Google,1,Susah bikin pospaynya,2023-12-22 14:20:43,Pospay
Pengguna Google,2,"Tolong lah untuk developer, itu ada eror bug saat cek bantuan "" camera exception error' attempt to invoke virtual"" masa tidak ada update nya.",2023-12-22 13:30:48,Pospay
Pengguna Google,1,Aplikasi ga bisa di pake duhh,2023-12-22 02:08:41,Pospay
Pengguna Google,5,Memang mantap,2023-12-21 22:31:18,Pospay
Pengguna Google,5,Baik sekali,2023-12-21 22:14:30,Pospay
Pengguna Google,5,Bagus,2023-12-21 16:14:00,Pospay
Pengguna Google,5,"Aplikasi ini sangat baik,sangat mudah di gunakan dan bisa mempermudah seluruh transaksi kebutuhan kita...",2023-12-21 16:09:55,Pospay
Pengguna Google,5,"Apk nya mantap👍, sangat berguna n membantu dalam pembayaran apapun. Tingkatkan trus.",2023-12-21 16:04:21,Pospay
Pengguna Google,5,"Semakin mudah tuk melakukan,transaksi baik itu pembayaran ataupun lainya.the best👍👍👍",2023-12-21 15:52:59,Pospay
Pengguna Google,5,MANTAP JAYA,2023-12-21 15:48:48,Pospay
Pengguna Google,5,Mantap euy dan keren pakai pospay semua. Menu ada gk repot lagi mau kekantor pos tanpa ngantri. Ayo semua pakai pospay..,2023-12-21 15:21:02,Pospay
Pengguna Google,5,Bagus bangettt!! Transaksi mudah bisa membantu😍😍,2023-12-21 15:16:12,Pospay
Pengguna Google,1,Buka rekening muter2 terus. Kurang sat set dhas dhes what whet,2023-12-20 22:36:52,Pospay
Pengguna Google,5,"Maaf,, ini saya ada kendala,, kenapa aplikasi pospay saya menghilang dan tidak bisa di downlod lagi,, padahal aplikasi posaja masih ada dan bisa di pakek,,",2023-12-20 21:56:33,Pospay
Pengguna Google,1,"Aplikasi malah gak bisa di buka, kalau mw buat aplikasi jangan setengah setengah",2023-12-20 09:55:28,Pospay
Pengguna Google,4,sangat bagus dalam aplikasinya,2023-12-20 08:24:21,Pospay
Pengguna Google,5,Good,2023-12-19 23:12:28,Pospay
Pengguna Google,3,Ini kok ga ada logo kemnakernya ya?,2023-12-19 21:16:22,Pospay
Pengguna Google,1,Gabisa di bukan,2023-12-19 21:06:42,Pospay
Pengguna Google,3,Tolong min di tambahkan menu cetak pribter bloototnya,2023-12-18 10:24:27,Pospay
Pengguna Google,1,Aneh ga bisa login,2023-12-17 21:36:53,Pospay
Pengguna Google,5,Good,2023-12-17 17:10:07,Pospay
Pengguna Google,1,"Aplikasinya yg sangat payah, masa mau upgrade foto malah error",2023-12-17 12:37:35,Pospay
Pengguna Google,3,"akun saya terblokir,dr pihak cs suruh ke kantor pos terdekat,begitu nyampe cuma bisa bantu ngirim data,tp dr pihak pos cabang kota gk ada respon,itu gimana min,ribet amat klo keblokir",2023-12-16 18:52:55,Pospay
Pengguna Google,5,Perbaiki sistemnya Supaya tidak eror,2023-12-16 12:36:33,Pospay
Pengguna Google,3,Kenapa login aplikasih tidak dapat otp sudah 1 Minggu,2023-12-14 17:32:04,Pospay
Pengguna Google,2,"mau daftar ribet bgt,auto uninstall deh",2023-12-13 08:26:29,Pospay
Pengguna Google,1,"Kecewa berat, akun POSPAY saya terblokir padahal saya sudah ke kantor pos terdekat di suruh hubungi cs, sudah hubungin cs Cilacap gak di respon pemberitahuan yang aneh, 5hari gak di balas balas dan belum jadi jadi",2023-12-13 02:28:53,Pospay
Pengguna Google,1,Akun saya terblokir cara pulihkan akun saya yg terblokir gimana ?,2023-12-12 23:04:14,Pospay
Pengguna Google,5,Cepat mudah bagus aman,2023-12-12 21:43:46,Pospay
Pengguna Google,5,Peningkatan performa aplikasi dan selalu update aplikasi lebih baik.,2023-12-12 21:31:08,Pospay
Pengguna Google,5,Mantap.. aplikasi memudahkn segala nya,2023-12-12 18:40:10,Pospay
Pengguna Google,5,pospay emang paling mengerti aku .....,2023-12-12 18:25:10,Pospay
Pengguna Google,5,Mantab dan memuaskan,2023-12-12 18:05:37,Pospay
Pengguna Google,5,"Aplikasi yang bermanfaat, lengkap, dan transfer sesama pospay gratis",2023-12-12 18:00:14,Pospay
Pengguna Google,5,Aplikasi yg memberi kemudahan dlm bertransaksi..,2023-12-12 16:37:26,Pospay
Pengguna Google,5,"Pospay keren euyyy,, utk nabung bisa banget,, syariah banget no bunga, bayar listrik, air, telepon, pulsa utk nelfon ayankbeb oke bgt, dan byk fitur menarik lainnya,,,tingkatkan transaksi mu di pospay, dapatkan kemudahan dan keuntungan lainnya",2023-12-12 16:14:29,Pospay
Pengguna Google,5,Memudahkan kita dalam pembayaran2,2023-12-12 14:43:46,Pospay
Pengguna Google,5,"Aplikasi yg lengkap, smua bisa, transfer uang, pmbyaran listrik, pulsa, smua angsuran, bayar zakat, pajak, dan lain2 CS jg mudah dan gk ribet",2023-12-12 12:34:05,Pospay
Pengguna Google,5,Pos makin top markotop...josss👍👍👍👍👍,2023-12-12 12:18:09,Pospay
Pengguna Google,5,Solusi cerdas untuk pembayaran apapun....,2023-12-12 12:06:16,Pospay
Pengguna Google,5,"Suka aplikasinya, gampang di gunakan",2023-12-12 11:59:53,Pospay
Pengguna Google,5,"Good sangat membantu sekali, satu aplikasi untuk semua transaksi",2023-12-12 11:50:13,Pospay
Pengguna Google,5,"Mantap,fitur lumayan lengkap",2023-12-12 11:48:12,Pospay
Pengguna Google,5,Aplikasi POSPAY sangat mudah digunakan di mana saja,2023-12-12 11:37:01,Pospay
Pengguna Google,5,Lebih di tingkatkan lagi dalam pengaplikasian dan di buatkan untuk customer service nya khusus untuk aplikasi pospay tersebut biar masyarakat yang terjadi case menjadi tau kemana untuk komplain nya.. Tanpa harus ke kantor pos Terima kasih sekian,2023-12-12 11:29:17,Pospay
Pengguna Google,5,"proses pembuatan akun mudah pembelian e-materai cepat, listrik token dan pulsa juga bisa dgn harga yg ckup ekonimis",2023-12-12 11:24:05,Pospay
Pengguna Google,5,"memudahkan bangets, bisa transfer bank murah, bisa tarik tunai di atm bca, bisa beli emeterai",2023-12-12 11:09:47,Pospay
Pengguna Google,5,"Memudahkan utk berbagai transaksi, biaya transfer antar bank murah juga",2023-12-12 11:01:46,Pospay
Pengguna Google,1,"ini kan kantor besar yakali app nya kurang mendukung gimana deh, mau transaksi emeterai, disuruh jam 3 padahal jam pembelian jam 3, terus break sebentar nunggu jam 4, ternyata suruh pembayaran nya jam 5. saya coba beli jam 5 juga tetap engga bisa. DEVELOP NYA BEGIMANA INI??????",2023-12-12 09:59:57,Pospay
Pengguna Google,5,Mantabh....aplikasi nya lengkap,2023-12-12 09:09:21,Pospay
Pengguna Google,1,"Saran saya kalau masih punya hati nurani tutup layanan emeterai pospay, krna memakan banyak korban entah emeterainya berubah posisi saat dibubuhkan atau prosesnya yg terlalu lama, tpi kalau kalian memang murni jahat dan senang dapat uang haram dari orang lain, semoga masuk neraka Aamiin ya Allah sy tdk akan pernah memaafkan orang yg seperti ini, buat kalian yg mau bubuhkan emeterai sy sarankan di skill academy saja, proses tidak sampai 1 menit langsung bisa di download Edit : tetap bintang 1 👍",2023-12-11 15:53:37,Pospay
Pengguna Google,1,"Ini aplikasi gimana ya, habis daftar akun trus di pakai login kok tidak bisa. Alasannya Muncul username tidak sesuai. Sedangkan di situ tidak ada lupa username. Yg ada cuma lupa pasword. Payah...",2023-12-11 13:27:42,Pospay
Pengguna Google,5,Bagus maksi dengan pelayan nya merespon,2023-12-11 12:41:56,Pospay
Pengguna Google,1,aplikasi tidak bisa dibuka setalah instal,2023-12-10 14:50:41,Pospay
Pengguna Google,1,Sering gangguan,2023-12-08 22:01:55,Pospay
Pengguna Google,2,"Saya Upgrade Ke Lite Plus kok gagal terus, ada Perbaikan Sistem kok gak selesai-selesai sih",2023-12-08 15:44:05,Pospay
Pengguna Google,1,"Untuk aplikasi pospay hrus di periksa kembali agar tidak ada kendala bagi prngguna , kendalanya ketika di upgrade ke LITEPLUS kameranya tidak bisa di gunakan TOLONG pihak POSPAY harus dengan teliti saat membuat aplikasi ini 🙏🙏",2023-12-08 12:37:20,Pospay
Pengguna Google,2,"Mau upgrade e KTP,,katanya ada masalah teknis uplikasi. Udah dicoba berkali kali tetep masih belum bisa masuk.. 😤😤😤😤",2023-12-08 11:10:30,Pospay
Pengguna Google,1,Cara untuk cek BSU di mana?koq ga ada opsinya,2023-12-07 21:05:28,Pospay
Pengguna Google,2,Kenapa daftar susah sekali GG kaya app lain,2023-12-07 14:46:27,Pospay
Pengguna Google,2,Masuk katanya password salah terus padahal sudah benar akhirnya ganti password dan login kembali eh tetap saja bilangnya password salah maksudmu apa ferguzo hapus saja gak guna ribet,2023-12-07 08:03:18,Pospay
Pengguna Google,5,Sangat membantu,2023-12-06 21:31:11,Pospay
Pengguna Google,5,Good,2023-12-05 10:01:55,Pospay
Pengguna Google,5,"Rekomended , Buat keluarga dan teman teman , jika ada kendala bisa langsung disesaikan di kantor pos terdekat",2023-12-04 16:21:56,Pospay
Pengguna Google,5,"Dompet elektronik tang paling simple, mudah, aman dan canggih",2023-12-03 16:22:25,Pospay
Pengguna Google,1,Sangat buruk...dikarena ada dana yg mengendap 10 ribu. Dan jika top up...hilang 1000 rupiah ntah kemana...masuk ke POSPAY nggk sesuai dengan nominal top upny...bikinn riweh nggk jelas banget. Bolak-balik masuk harus pake password...mbaking aja nggk seriweh ini...,2023-12-03 06:29:32,Pospay
Pengguna Google,1,Aplikasi maling saldo kepotong tapi di loket gak dibayar telernya,2023-12-02 22:22:05,Pospay
Pengguna Google,2,"Halo kak, setelah saya setel ke pengaturan pabrik, akun pospay saya tidak bisa login lagi di lerangkat saya ""perangkat sudah terdaftar di device lain""",2023-12-02 19:42:51,Pospay
Pengguna Google,5,Saat ini msh jadi yg trbaik,2023-12-01 11:00:00,Pospay
Pengguna Google,1,Pelayanan buruk di kantor pos ambukembang Pekalongan Salah nginput jadi gratis ongkir gak mau tanggung jawab,2023-12-01 05:37:31,Pospay
Pengguna Google,5,Good,2023-11-30 21:34:20,Pospay
Pengguna Google,1,"Tolong dong pelayanannya di tingkatkan. Saya udah 2x ini Tf bank, gak pernah langsung nyampe.",2023-11-30 21:20:49,Pospay
Pengguna Google,5,"Ayo download d jamin aplikasi sering eror kadang susah masuk, uang juga nyangkut terakhir mau masuk akun terblokir katanya, kalo hanya saya yang kecewa gak berarti apa ap tp kalo seribuan orang yang kecewa mukin sedikit lebih dampaknya jadi kasih bintang 5 biar semua pada kecewa",2023-11-30 19:18:52,Pospay
Pengguna Google,2,"Izin Pak/Bu. Di perangkat saya redmi note 10s tidak bisa akses kamera saat mau foto ktp untuk upgrade ke rekening plus. Awalnya force close dan selanjutnya selalu error. Mohon diperiksa dulu pak/bu apakah itu bug atau bagaimana. Kalau sudah baik nanti, saya kasih bintang 5🙏🙏🙏",2023-11-29 19:38:11,Pospay
Pengguna Google,5,Transaksi jual beli emas lebih mudah,2023-11-29 12:22:30,Pospay
Pengguna Google,1,Layanan sangat sangat sangat buruk sekali.. Jawabannya tamplate banget.. Kritik& saran.. Cuma omdo doang..kenyataannya ga ada perubahan sama sekali,2023-11-29 12:10:37,Pospay
Pengguna Google,5,Semakin bagus,2023-11-29 10:21:50,Pospay
Pengguna Google,5,Aplikasi nya bantu banget para pebisnis online,2023-11-29 08:27:49,Pospay
Pengguna Google,1,"Gak guna, aplikasi tolol.. percuma beli banyak meterai tapi file yg udah dibubuhi gk bisa di download Bego!",2023-11-29 02:51:15,Pospay
Pengguna Google,1,Ini aplikasix terlalu sensitif suka terblokir akun postpayx..capek tahu,2023-11-28 22:27:11,Pospay
Pengguna Google,1,"gausah didownload, jelek banget",2023-11-27 13:32:03,Pospay
Pengguna Google,1,Selalu eror,2023-11-27 09:30:38,Pospay
Pengguna Google,1,Tiap keluar susah login pdhal dgn username n pass yg sama.. hadeh..,2023-11-26 21:32:26,Pospay
Pengguna Google,1,"Udah 3 hari ubgrede masih proses terus, Saldo saya belum bisa di ambil di pospay nya. Tolong pihak dari PT POS jagan sampai pelangan kecewa..",2023-11-26 07:40:45,Pospay
Pengguna Google,1,Kapooook tf bank jam 10 malam...uang ga masuuuukkk,2023-11-25 22:31:51,Pospay
Pengguna Google,1,Aplikasi terblokir sendiri,2023-11-24 12:08:20,Pospay
Pengguna Google,1,Aplikasinya lemot trus susah masuk padahal jaringan udah bagus Tolong di perbaiki lagi jaringan bagus ko ttp ngak bisa buka aplikasi🙄,2023-11-23 19:42:45,Pospay
Pengguna Google,2,"Pospay akhirnya saya hapus, aplikasinya gk bagus",2023-11-23 15:08:44,Pospay
Pengguna Google,1,Mohon diperbaiki bug. Dan permudah buat mengganti akun prabayar ke akun reguler.,2023-11-23 05:46:24,Pospay
Pengguna Google,1,"Pelayanan sampah, lagi butuh urgent udah ngikutin tata cara sesuai aplikasi buat pengisian saldo lewat virtual account malah dana nyangkut, padahal transfer di jam 11 belum lewat jam cut off 12.30, customer service jelek kesannya bukan nge resolve keluhan pelanggan tapi basa basi doang, kalau belum siap digitalisasi mending tutup aja ini aplikasi sama fitur",2023-11-22 12:25:15,Pospay
Pengguna Google,1,"Aplikasi buruk!!! Pelayanan lambat!!! Saya hanya ingin mengganti no hp yang terdaftar dgn nomor baru karena nomor lama sudah tidak aktif, eh malah diblokir akunnya. Giliran disuruh menghubungkan akun lamanya minta ampun. Sudah H+5 dari menghubungkan akun, sampe sekarang masih belum ada perkembangan. Sudah saya kirim e-mail tapi ga ada respon.",2023-11-21 20:04:28,Pospay
Pengguna Google,2,"Samgat di sayangkan mau login tapi (Akun sudah terdaftar di device lain, silahkan melakukan login pada device yang sudah teregistrasi) padahal saya hanya punya 1 hp. Gimana ini solusinya? Tiap kali login seperti itu terus",2023-11-21 07:11:03,Pospay
Pengguna Google,1,tidak bisa login padahal baru buat akun dan user name yg dimasukan juga benar,2023-11-20 19:50:00,Pospay
Pengguna Google,1,Tolong harus di perbaikan sistem aplikasinya..dan agak susah untuk pagi para pengguna.,2023-11-19 06:13:54,Pospay
Pengguna Google,1,"Ini mau coba bayar angsuran FIF, keterangannya KODE KESALAHAN BLM DIDEFINISIKAN. Tolong segera diperbaiki, kadang cuma malam ada waktu baru bisa buat bayar, takut jatuh tempo.",2023-11-18 22:37:58,Pospay
Pengguna Google,1,"Tiap mau login salah pw terus, apa tiap login harus bikin pw baru? saya coba pakai pw yang biasa malah keblokir padahal itu pw baru saya bikin seminggu yang lalu, parah ini apk bikin pusing, bukannya ngebantu malah bikin nambah kerjaan aja.",2023-11-18 08:16:25,Pospay
Pengguna Google,1,"Sudah login dgn benar masih tidak bisa, diulang ulang login sampai di blokir CS",2023-11-17 08:53:50,Pospay
Pengguna Google,4,Apk lambat,2023-11-16 20:59:17,Pospay
Pengguna Google,5,mantap,2023-11-16 10:08:05,Pospay
Pengguna Google,1,"Aplikasi buruk password dn lokasi sudah benar tetep aja di blokir .tolong it nya yg benar pemulihan di suruh TLP cs,cs suruh email,ga ad jawaban email dn TLP cs ga ada gunanya.. aplikasi sampah jangan di pasang hapus saja tiada guna nya .biarduit nya mendap disitu",2023-11-15 12:14:56,Pospay
Pengguna Google,5,Mantap,2023-11-13 15:36:00,Pospay
Pengguna Google,1,Buka aplikasi lama... Heran klh sama brimo,2023-11-12 19:33:17,Pospay
Pengguna Google,5,Lumayan,2023-11-12 06:07:00,Pospay
Pengguna Google,2,Klo lupa username susahnya pke bngt buat benerin.gak digampangin,2023-11-11 22:34:11,Pospay
Pengguna Google,3,Maaf sekarang pos tidak secepat dulu...pengiriman agak lambat ..dan jika pengiriman cod kdang banyak yg diretur...saya sebagai penjual online kdang rugi barang banyak diretur...karena pihak kurir pos ketika pengantar tidak pernah menghubungi penerima paket bila tidak dirumah...langsung diretur...padahal sudah ada nomor .wa yg dicantumkan,2023-11-11 05:59:53,Pospay
Pengguna Google,5,Keren,2023-11-10 18:16:13,Pospay
Pengguna Google,5,good apk,2023-11-10 08:49:23,Pospay
Pengguna Google,1,akunku ada saldonya 450.000 tapi kenapa malah diblokir?,2023-11-09 16:17:15,Pospay
Pengguna Google,1,"gimana sih, masa salah password, padahal login juga pake password yang sama. tolol yg bikin, pake segala pajak lagi. anj Anj, emang bener-bener gk guna, perbaiki lah tolol, menyusahkan orang aja",2023-11-09 13:22:40,Pospay
Pengguna Google,5,Sangat amat membantu biaya admin juga murah,2023-11-09 07:09:38,Pospay
Pengguna Google,1,Selalu gagal dalam pembelian paket data,2023-11-08 21:08:12,Pospay
Pengguna Google,1,"Aplikasi sampah, mau upgrade data biar bisa tarik, malah kaga bisa alasan tidak sesuai KTP padahal sudah benar, aplikasi THOLOL",2023-11-08 15:47:31,Pospay
Pengguna Google,1,"Capek login, WAJIB ada saldo endapan 10rb, biaya admin MUAHAL, transfer ke rekening sendiri dari Pospay atau sebaliknya kena admin mulu, ya kalah bos sama E-Wallet lain 👎👎",2023-11-08 15:15:35,Pospay
Pengguna Google,1,"Ini gmn ya?? Mau buka ko gkbisa trs, pdhl ada saldo tertahan...",2023-11-08 15:05:22,Pospay
Pengguna Google,5,Good aplication,2023-11-08 14:19:58,Pospay
Pengguna Google,1,"beli ematerai 7, yg berhasil diunduh filenya cuma 1, rugi 60rb, maaf min, bagi saya itu uang besar, untung gk seberapa jgn bikin aplikasi yg ngerugiin rakyat kecil",2023-11-08 14:15:59,Pospay
Pengguna Google,5,mohon layanan qrisnya di perbaiki.,2023-11-08 11:37:29,Pospay
Pengguna Google,1,"Bagaimana cara memulihkan akun pospay yang telah di blokir karena salah sandi , saya sudah email tapi tidak ada respon sama sekali, mohon dijawab . Terimakasih 🙏",2023-11-07 18:36:46,Pospay
Pengguna Google,1,"Aplikasi sangat jelek, berkali kali suruh ganti password, giliran lupa password karena terlalu sering suruh ganti malah keblokir, lebih jeleknya lagi udah ke cs tetep aja nggak bisa kebuka. Yg belum download mending nggak usah sekalian, drpd nyesel.",2023-11-07 14:16:15,Pospay
Pengguna Google,2,Data yang dimasukkan untuk upgrade udah bener malah di respon salah dengan alasan tidak cocok. Tolong diperbaiki lagi.,2023-11-06 21:27:30,Pospay
Pengguna Google,1,"Tlong kasih menu printer nya min Dan tlong Jangan pake saldo ngendap,, Mau cari agen dan pengguna kok manajemen nya bkin kabur ah,,, Poin koomisin nya yang di berikn gak sbanding dengan admin dr server untuk planggan pke. Makan tu saldo 10rb kali ribuan saldo hak orang lain sdh brpa tuh,,,",2023-11-06 16:27:17,Pospay
Pengguna Google,5,Tanpa potongan biaya adm dan layanannya lebih lengkap dibanding aplikasi yg lain,2023-11-06 09:59:08,Pospay
Pengguna Google,1,Ribet ...maksa harus ganti password... alhasil lupa lagi...dan harus urus ke pos ke cs disebagainya,2023-11-04 10:42:19,Pospay
Pengguna Google,5,Keren kantor pos sekarang,2023-11-03 14:54:33,Pospay
Pengguna Google,5,Memudahkan,2023-10-29 19:16:15,Pospay
Pengguna Google,1,Isi saldo potongannya parah,2023-10-27 22:04:47,Pospay
Pengguna Google,2,"ribet, jika username lupa, harus menghubungi CS, padahal di aplikasi lain tinggal cantumin email atau nomor telepon, nanti ke detect username nya",2023-10-27 19:56:08,Pospay
Pengguna Google,1,"Aplikasi ini sangat rumit, mau registrasi sulit, mau upgrade sulit, dengan report sedang dalam pemeliharaan , sepertinya server sering bermasalah, terus terang sangat mengkhawatirkan menurut saya.",2023-10-27 05:25:29,Pospay
Pengguna Google,1,"Untuk sekelas aplikasi dari salah satu BUMN yang ternama, sangat mengecewakan. Beli e-materai, saldo sudah berkurang tp e-materai tidak masuk. Tanya ke petugas di kantor di lempar². Ganti aja aplikasi lainnya yg lebih bermanfaat dan benar² berfungsi sebagaimana mestinya. Atau opsi kedua cari tenaga kerja yang benar² mumpuni untuk pengoperasian aplikasi, sehingga tidak ada lagi saling lempar tanggung jawab. Semoga menjadi perhatian.",2023-10-27 01:31:11,Pospay
Pengguna Google,1,Sori sy uninstall lagi..masak sy mau beli minyak goreng murah katanya pake aplikasi ini bisa..pas dilihatin sy udah punya di jawab orang pos akun nya reguler ga bisa..buat apa aplikasi ini sy pake klo sy merasa di bohongi pihak pos Indonesia..aplikasi sampah..berguna cm satukali aja kalau punya terus malah ga berguna..sampah sy capek2 antri..cuma manfaatin rakyat untuk download 1kali saja lepas itu tidak berguna..,2023-10-26 20:58:28,Pospay
Pengguna Google,5,"app parah,, kirim pulsa 4x tidak ada yang masuk pulsanya",2023-10-26 02:49:47,Pospay
Pengguna Google,1,Aplikasi tidak bisa digunakan utk upgrade Login via finger tdk berfungsi,2023-10-25 16:12:32,Pospay
Pengguna Google,1,gk bisa beli pulsa sistem eror terus,2023-10-24 15:23:31,Pospay
Pengguna Google,1,Apk bobrok,2023-10-24 11:14:44,Pospay
Pengguna Google,1,"Aplikasii buruk, beli pulsa gabisa dengan alasan tidak ada saldo. Padahal saldo ada dan mencukupi. Dana tidak bisa dicairkan. Baddddddd bgt!",2023-10-24 06:35:46,Pospay
Pengguna Google,1,Knpa mengisi pulsa tidak bisa,2023-10-21 17:59:35,Pospay
Pengguna Google,1,Ribet amat mau update ke giro nya saran buat yv lain kalau mau kirim barang ke jnt aja,2023-10-20 15:51:12,Pospay
